symbol,cik,name,sector,date_added,date_removed
ABI,0000077551,,,2007-03-05*,2009-03-07*
ABK,0000874501,,,2007-03-05*,2008-08-21*
ACAS,0000817473,,,2008-01-22*,2009-03-07*
ACE,0000896159,,,2007-03-05*,2008-08-21*
ACS,0000002135,,,2007-03-05*,2010-04-03*
ADCT,0000061478,,,2007-03-05*,2008-01-22*
AKS,0000918160,,,2008-08-21*,2011-12-16
AMD,0000002488,,,2007-03-05*,2013-09-20
ANF,0001018840,,,2008-01-22*,2013-12-21
ANR,0001301063,,,2011-06-09*,2012-09-26
AOC,0000315293,,,2007-03-05*,2009-12-31*
APOL,0000929887,,,2007-03-05*,2013-06-28
ASD,0000836102,,,2007-03-05*,2007-11-28*
ASH,0001305014,,,2007-03-05*,2010-07-12*
ASN,0001156826,,,2007-03-05*,2008-01-22*
AT,0000065873,,,2007-03-05*,2007-11-27*
AV,0001116521,,,2007-03-05*,2008-01-22*
AW,0000848865,,,2007-03-05*,2009-03-07*
AYE,0000003673,,,2007-03-05*,2011-03-07*
BC,0000014930,,,2007-03-05*,2008-08-21*
BDK,0000093556,,,2007-03-05*,2010-04-03*
BEAM,0000789073,,,2011-11-21*,2014-04-30*
BIG,0000768835,,,2007-03-05*,2013-02-17*
BJS,0000864328,,,2007-03-05*,2010-05-05*
BMC,0000835729,,,2007-03-05*,2013-09-10
BMET,0000351346,,,2007-03-05*,2008-01-22*
BNI,0000934612,,,2007-03-05*,2010-01-27*
BOL,0000010427,,,2007-03-05*,2008-01-22*
BRL,0000010081,,,2007-03-05*,2008-12-30*
BSC,0000777001,,,2007-03-05*,2008-08-21*
BUD,0001668717,,,2007-03-05*,2008-11-24*
CBE,0001141982,,,2011-11-30*,2012-12-03
CBE,0001141982,,,2007-03-05*,2010-07-21*
CBH,0000715096,,,2007-03-05*,2008-08-21*
CBSS,0000018568,,,2007-03-05*,2007-08-30*
CC,0000104599,,,2007-03-05*,2008-08-21*
CCU,0000739708,,,2007-03-05*,2008-08-21*
CEG,0001004440,,,2007-03-05*,2012-03-13
CEPH,0000873364,,,2009-06-01*,2011-10-14
CFC,0000025191,,,2007-03-05*,2008-08-21*
CIEN,0000936395,,,2007-03-05*,2010-01-22*
CIT,0001171825,,,2007-03-05*,2009-07-18*
CLF,0000076406,,,2010-01-22*,2014-04-01*
CMX,0001000736,,,2007-03-05*,2007-05-15*
COV,0001385187,,,2008-01-22*,2009-06-10*
CPWR,0000859014,,,2007-03-05*,2011-12-31
CTX,0000018532,,,2007-03-05*,2009-10-01*
CVG,0001062047,,,2007-03-05*,2010-01-22*
CVH,0001054833,,,2007-03-05*,2013-05-09
CZN,0000020520,,,2007-03-05*,2008-08-21*
DDR,0000894315,,,2008-01-22*,2009-04-06*
DDS,0000028917,,,2007-03-05*,2008-10-28*
DELL,0000826083,,,2007-03-05*,2013-10-21
DF,0000931336,,,2007-03-05*,2013-05-23
DG,0000029534,,,2007-03-05*,2008-01-22*
DJ,0000029924,,,2007-03-05*,2008-01-22*
DV,0000730464,,,2009-06-10*,2012-10-01
DYN,0001379895,,,2007-03-05*,2010-01-22*
EDS,0001007456,,,2007-03-05*,2008-09-03*
EK,0000031235,,,2007-03-05*,2011-03-09*
EP,0001066107,,,2007-03-05*,2012-05-17
EQ,0001350031,,,2007-03-05*,2009-07-04*
ERTS,0000712515,,,2007-03-05*,2011-12-20*
ESV,0000314808,,,2007-03-05*,2009-12-20*
FD,0000794367,,,2007-03-05*,2007-07-24*
FDC,0000883980,,,2007-03-05*,2008-01-22*
FHN,0000036966,,,2007-03-05*,2013-08-23*
FII,0001056288,,,2007-03-05*,2012-12-31
FNM,0000310522,,,2007-03-05*,2008-09-11*
FO,0000789073,,,2007-03-05*,2011-11-21*
FPL,0000753308,,,2007-03-05*,2010-07-11*
FRE,0001026214,,,2007-03-05*,2008-09-11*
GENZ,0000732485,,,2007-03-05*,2011-04-07*
GGP,0000895648,,,2008-01-22*,2009-03-18*
GM,0001467858,,,2007-03-05*,2009-06-02*
GR,0000042542,,,2007-03-05*,2012-07-31
H,0001355001,,,2007-03-05*,2007-04-04*
HCR,0000878736,,,2007-03-05*,2008-01-22*
HET,0000858339,,,2007-03-05*,2008-08-23*
HLT,0000047580,,,2007-03-05*,2008-01-22*
HNZ,0000046640,,,2007-03-05*,2013-06-07
HPC,0000046989,,,2007-03-05*,2009-06-01*
IACI,0000891103,,,2007-03-05*,2008-08-21*
IR,0001466258,,,2007-03-05*,2009-07-04*
ITT,0000216228,,,2007-03-05*,2011-10-31
JAVA,0000709519,,,2007-09-11*,2010-02-05*
JCP,0001166126,,,2007-03-05*,2013-12-02
JDSU,0000912093,,,2007-03-05*,2013-12-21
JNS,0001065865,,,2007-03-05*,2011-11-18
JNY,0000874016,,,2007-03-05*,2009-04-06*
JOYG,0000801898,,,2011-03-09*,2011-12-14*
KBH,0000795266,,,2007-03-05*,2010-01-22*
KFT,0001103982,,,2008-01-22*,2012-10-02
KG,0001047699,,,2007-03-05*,2011-03-08*
KMI,0001506307,,,2007-03-05*,2008-01-22*
KSE,0001062379,,,2007-03-05*,2008-01-22*
LEH,0000806085,,,2007-03-05*,2008-09-16*
LIFE,0001073431,,,2009-03-07*,2014-01-24
LIZ,0000352363,,,2007-03-05*,2008-12-24*
LTD,0000701985,,,2007-03-05*,2013-12-09*
LTR,0000060086,,,2007-03-05*,2008-08-21*
LXK,0001001288,,,2007-03-05*,2012-10-01
MBI,0000814585,,,2007-03-05*,2010-01-22*
MDP,0000065011,,,2007-03-05*,2011-03-09*
MEDI,0000873591,,,2007-03-05*,2007-05-31*
MEE,0000037748,,,2008-08-21*,2011-06-01
MEL,0000064782,,,2007-03-05*,2008-01-22*
MER,0000065100,,,2007-03-05*,2009-03-07*
MFE,0000890801,,,2008-12-30*,2011-03-08*
MHP,0000064040,,,2007-03-05*,2013-05-15*
MHS,0001170650,,,2007-03-05*,2012-04-03
MI,0001399315,,,2007-03-05*,2011-07-05
MIL,0000066479,,,2007-03-05*,2010-07-21*
MMI,0001495569,,,2011-03-09*,2012-05-21
MNST,0001020416,,,2007-03-05*,2009-01-02*
MOLX,0000067472,,,2007-03-05*,2013-12-10*
MOT,0000068505,,,2007-03-05*,2011-03-09*
MTG,0000876437,,,2007-03-05*,2008-11-03*
MTW,0000061986,,,2008-01-22*,2009-10-01*
MWW,0001020416,,,2009-01-02*,2011-12-16
MXB,0001408198,,,2010-01-22*,2010-07-12*
MXIM,0000743316,,,2007-03-05*,2008-01-22*
NCC,0000069970,,,2007-03-05*,2009-03-07*
NCR,0000070866,,,2007-03-05*,2008-01-22*
NE,0001169055,,,2007-03-05*,2009-04-06*
NOVL,0000758004,,,2007-03-05*,2011-05-24*
NSM,0000070530,,,2007-03-05*,2011-09-23
NVLS,0000836106,,,2007-03-05*,2012-06-05
NYT,0000071691,,,2007-03-05*,2011-03-09*
NYX,0001368007,,,2008-01-22*,2013-11-13
ODP,0000800240,,,2007-03-05*,2011-03-09*
OMX,0000012978,,,2007-03-05*,2008-08-21*
PBG,0001076405,,,2007-03-05*,2010-04-03*
PCS,0001283699,,,2009-07-04*,2013-05-01
PD,0000078066,,,2007-03-05*,2008-01-22*
PGN,0001094093,,,2007-03-05*,2012-07-02
PMCS,0000767920,,,2007-03-05*,2007-11-07*
PTV,0001089976,,,2007-03-05*,2010-12-07*
Q,0001037949,,,2007-03-05*,2011-04-07*
QLGC,0000918386,,,2007-03-05*,2011-03-09*
RIG,0001451505,,,2007-03-05*,2009-03-07*
ROH,0000084792,,,2007-03-05*,2009-04-06*
RRD,0000029669,,,2007-03-05*,2012-12-11
RSH,0000096289,,,2007-03-05*,2011-06-30
RX,0001058083,,,2007-03-05*,2010-04-03*
S,0000101830,,,2007-03-05*,2013-07-08
SAF,0000086104,,,2007-03-05*,2008-09-30*
